24/02/2023 17:39:32 - 0137:	 - train_loss: 0.381089:	 - test_loss: 0.402936:	 mIoU 0.7204
24/02/2023 17:39:36 - 0138:	 - train_loss: 0.371028:	 - test_loss: 0.401053:	 mIoU 0.7210
24/02/2023 17:39:41 - 0139:	 - train_loss: 0.348058:	 - test_loss: 0.436144:	 mIoU 0.6720
24/02/2023 17:39:46 - 0140:	 - train_loss: 0.365215:	 - test_loss: 0.410855:	 mIoU 0.7054
24/02/2023 17:39:50 - 0141:	 - train_loss: 0.365102:	 - test_loss: 0.408863:	 mIoU 0.7119
24/02/2023 17:39:55 - 0142:	 - train_loss: 0.384772:	 - test_loss: 0.409487:	 mIoU 0.7103
24/02/2023 17:40:00 - 0143:	 - train_loss: 0.350234:	 - test_loss: 0.434557:	 mIoU 0.6732
24/02/2023 17:40:04 - 0144:	 - train_loss: 0.348144:	 - test_loss: 0.398360:	 mIoU 0.7244
24/02/2023 17:40:09 - 0145:	 - train_loss: 0.378531:	 - test_loss: 0.400912:	 mIoU 0.7197
24/02/2023 17:40:14 - 0146:	 - train_loss: 0.374788:	 - test_loss: 0.397567:	 mIoU 0.7235
24/02/2023 17:40:18 - 0147:	 - train_loss: 0.377348:	 - test_loss: 0.396552:	 mIoU 0.7248
24/02/2023 17:40:23 - 0148:	 - train_loss: 0.346281:	 - test_loss: 0.414519:	 mIoU 0.7066
24/02/2023 17:40:27 - 0149:	 - train_loss: 0.341636:	 - test_loss: 0.397490:	 mIoU 0.7221
24/02/2023 17:40:32 - 0150:	 - train_loss: 0.346656:	 - test_loss: 0.398205:	 mIoU 0.7211
24/02/2023 17:40:37 - 0151:	 - train_loss: 0.360287:	 - test_loss: 0.410855:	 mIoU 0.7063
24/02/2023 17:40:41 - 0152:	 - train_loss: 0.354518:	 - test_loss: 0.397350:	 mIoU 0.7228
24/02/2023 17:40:46 - 0153:	 - train_loss: 0.386564:	 - test_loss: 0.405643:	 mIoU 0.7067
24/02/2023 17:40:51 - 0154:	 - train_loss: 0.344698:	 - test_loss: 0.400256:	 mIoU 0.7162
24/02/2023 17:40:55 - 0155:	 - train_loss: 0.334809:	 - test_loss: 0.399875:	 mIoU 0.7181
