12/02/2023 15:16:26 - 0203:	 - train_loss: 0.395905:	 - test_loss: 0.440885:	 mIoU 0.6873
12/02/2023 15:16:30 - 0204:	 - train_loss: 0.378017:	 - test_loss: 0.439601:	 mIoU 0.6916
12/02/2023 15:16:33 - 0205:	 - train_loss: 0.386007:	 - test_loss: 0.445757:	 mIoU 0.6827
12/02/2023 15:16:37 - 0206:	 - train_loss: 0.385551:	 - test_loss: 0.434582:	 mIoU 0.6919
12/02/2023 15:16:40 - 0207:	 - train_loss: 0.388308:	 - test_loss: 0.441219:	 mIoU 0.6857
12/02/2023 15:16:44 - 0208:	 - train_loss: 0.386368:	 - test_loss: 0.441558:	 mIoU 0.6862
12/02/2023 15:16:47 - 0209:	 - train_loss: 0.399436:	 - test_loss: 0.441956:	 mIoU 0.6857
12/02/2023 15:16:51 - 0210:	 - train_loss: 0.384720:	 - test_loss: 0.435902:	 mIoU 0.6904
12/02/2023 15:16:54 - 0211:	 - train_loss: 0.406698:	 - test_loss: 0.438006:	 mIoU 0.6902
12/02/2023 15:16:58 - 0212:	 - train_loss: 0.356631:	 - test_loss: 0.442409:	 mIoU 0.6817
12/02/2023 15:17:01 - 0213:	 - train_loss: 0.382441:	 - test_loss: 0.438495:	 mIoU 0.6867
12/02/2023 15:17:04 - 0214:	 - train_loss: 0.382445:	 - test_loss: 0.447061:	 mIoU 0.6768
12/02/2023 15:17:08 - 0215:	 - train_loss: 0.388337:	 - test_loss: 0.443853:	 mIoU 0.6768
12/02/2023 15:17:11 - 0216:	 - train_loss: 0.370389:	 - test_loss: 0.443519:	 mIoU 0.6767
12/02/2023 15:17:15 - 0217:	 - train_loss: 0.393136:	 - test_loss: 0.438860:	 mIoU 0.6814
12/02/2023 15:17:18 - 0218:	 - train_loss: 0.388517:	 - test_loss: 0.439186:	 mIoU 0.6840
12/02/2023 15:17:22 - 0219:	 - train_loss: 0.378391:	 - test_loss: 0.441794:	 mIoU 0.6804
12/02/2023 15:17:25 - 0220:	 - train_loss: 0.376301:	 - test_loss: 0.430693:	 mIoU 0.6922
12/02/2023 15:17:29 - 0221:	 - train_loss: 0.360949:	 - test_loss: 0.439196:	 mIoU 0.6807
12/02/2023 15:17:32 - 0222:	 - train_loss: 0.404619:	 - test_loss: 0.465179:	 mIoU 0.6501
12/02/2023 15:17:36 - 0223:	 - train_loss: 0.366855:	 - test_loss: 0.466871:	 mIoU 0.6440
12/02/2023 15:17:39 - 0224:	 - train_loss: 0.375008:	 - test_loss: 0.448208:	 mIoU 0.6642
12/02/2023 15:17:43 - 0225:	 - train_loss: 0.374223:	 - test_loss: 0.454753:	 mIoU 0.6638
12/02/2023 15:17:46 - 0226:	 - train_loss: 0.379950:	 - test_loss: 0.432092:	 mIoU 0.6889
12/02/2023 15:17:50 - 0227:	 - train_loss: 0.382561:	 - test_loss: 0.433933:	 mIoU 0.6867
12/02/2023 15:17:53 - 0228:	 - train_loss: 0.407207:	 - test_loss: 0.456681:	 mIoU 0.6649
12/02/2023 15:17:57 - 0229:	 - train_loss: 0.400693:	 - test_loss: 0.446548:	 mIoU 0.6724
12/02/2023 15:18:00 - 0230:	 - train_loss: 0.378588:	 - test_loss: 0.460325:	 mIoU 0.6576
12/02/2023 15:18:04 - 0231:	 - train_loss: 0.387390:	 - test_loss: 0.439517:	 mIoU 0.6798
12/02/2023 15:18:07 - 0232:	 - train_loss: 0.402227:	 - test_loss: 0.445421:	 mIoU 0.6691
12/02/2023 15:18:11 - 0233:	 - train_loss: 0.388886:	 - test_loss: 0.448406:	 mIoU 0.6677
12/02/2023 15:18:14 - 0234:	 - train_loss: 0.365655:	 - test_loss: 0.461542:	 mIoU 0.6502
12/02/2023 15:18:17 - 0235:	 - train_loss: 0.379237:	 - test_loss: 0.439908:	 mIoU 0.6785
12/02/2023 15:18:21 - 0236:	 - train_loss: 0.381861:	 - test_loss: 0.438874:	 mIoU 0.6814
12/02/2023 15:18:24 - 0237:	 - train_loss: 0.379025:	 - test_loss: 0.450444:	 mIoU 0.6615
12/02/2023 15:18:28 - 0238:	 - train_loss: 0.382935:	 - test_loss: 0.453559:	 mIoU 0.6651
